Land,1970,1990,2005,2017,2020,Pro Einwohner (2022),Anteil der Welt in %,Veränderung (1990 = 100%)
New Zealand,14868.7,23822.8,36187.2,36212.7,32371.1,6.58,0.08,135.90
Oman,7320.6,15554.9,32943.4,82273.2,91649.1,17.09,0.24,589.20
Pakistan,17847.2,65498.1,132776.4,210288.7,199329.9,0.92,0.52,304.30
Panama,2597.6,2718.2,7099,10145.7,11384,2.58,0.03,418.80
Peru,17411.5,20833.1,31829.8,55132.7,61610.4,1.81,0.16,295.70
Philippines,26368.4,43552,79592.8,136584,155380.9,1.38,0.40,356.80
Palau,1993.9,2155,1734.1,1196.2,1357.1,59,0.00,63.00
Papua New Guinea,1129.5,2108,5477.1,6597.2,4715.9,0.52,0.01,223.70
Poland,308756.4,370989.5,317019.7,330749.4,321954,8.53,0.84,86.80
Puerto Rico,28461.4,18592.2,25693.9,11312,12616.6,3.47,0.03,67.90
North Korea,75980.6,131964.5,79737.4,55370.1,54403.8,2.09,0.14,41.20
Portugal,16475.3,43727.7,67750.4,55117,41281.7,4.07,0.11,94.40
Paraguay,632.3,2181,3802.7,8447.1,9932.6,1.37,0.03,455.40
French Polynesia,141.6,833.4,999.8,1026.4,956.7,3.25,0.00,114.80
Qatar,14714.5,16994.4,43582.7,101532.3,102618,35.52,0.27,603.80
Reunion,367.7,937.7,2384.3,2657.3,2736.5,3.01,0.01,291.80
Romania,126376.3,186365.1,102361,81256.3,77289,4.03,0.20,41.50
Russia,1413943,2353966.8,1719005,1730522.5,1909039.3,13.31,4.96,81.10
Rwanda,69.7,553,741.7,1309.3,1626.4,0.12,0.00,294.10
Saudi Arabia,46923.9,173597,345932.3,602841.9,607907.5,16.98,1.58,350.20
Serbia and Montenegro,30293.6,66149.2,61576.1,59447.9,56874.4,6.13,0.15,86.00
Sudan,3437.1,5546.5,10834.5,23635,24523.2,0.4,0.06,442.10
Senegal,1349,2364.8,5748.3,9977.8,12074.7,0.67,0.03,510.60
Singapore,6539,31580.5,41618.4,56897.4,53439.7,8.85,0.14,169.20
Saint Helena. Ascension and Tristan da Cunha,2.8,9.5,9.7,16.4,17.9,4.48,0.00,187.60
Solomon Islands,65.9,156.1,317.6,340.2,318.1,0.47,0.00,203.70
Sierra Leone,361.6,644,570.5,999.5,1099.7,0.13,0.00,170.80
El Salvador,1601.2,2593,7030.5,6628.5,7972.4,1.22,0.02,307.50
Somalia,571.2,639.8,759,791.6,940.6,0.06,0.00,147.00
Saint Pierre and Miquelon,36.4,85.7,21.6,34.3,37.1,5.3,0.00,43.30
Sao Tome and Principe,14.4,39.3,89.9,140.8,157.9,0.7,0.00,402.00
Suriname,626.8,634.7,1687.1,2448,3289,5.6,0.01,518.20
Slovakia,43801.9,60118.1,41806.1,37305.6,35233.2,6.46,0.09,58.60
Slovenia,10453.5,14940.5,17636.1,15348.3,13946.9,6.7,0.04,93.30
Sweden,94331.2,56537.4,55023.8,43312.5,37850.2,3.69,0.10,66.90
Eswatini,224.6,1105,989.7,1110,1348.9,0.91,0.00,122.10
Seychelles,106.9,270.7,970.5,1088.5,1095.1,11.29,0.00,404.50
Syria,6327.5,32960,58764.2,26527.5,28237.4,1.38,0.07,85.70
Turks and Caicos Islands,3.2,4.8,31.3,80.7,88.4,2.33,0.00,1858.00
Chad,153.7,238.7,464,2097,2110.4,0.12,0.01,884.10
Togo,348.1,754.7,1311,1820.2,2438,0.28,0.01,323.00
Thailand,18108,93926.4,228703.3,274037,282445.8,4.06,0.73,300.70
Tajikistan,6977,12324.1,3191.3,6933.4,10551.3,1.07,0.03,85.60
Turkmenistan,28337.1,45700.8,52925,66564.9,69882.9,11.27,0.18,152.90
Timor-Leste,1.4,1.7,350.8,697.6,572.6,0.4,0.00,33040.50
Tonga,18.9,87.7,128.8,180.6,166.9,1.48,0.00,190.20
Trinidad and Tobago,6359.1,12670.2,34046.3,32309.7,29217.4,21.17,0.08,230.60
Tunisia,4252.9,14722.5,23439.7,30159.1,35915.4,2.96,0.09,243.90
Turkey,45127.4,155020.1,245648.5,434080.1,481247.5,5.66,1.25,310.40
Taiwan,36262.9,121770.5,266891.9,289780.2,275574,11.52,0.72,226.30
Tanzania,1568,2083.9,5931.4,12016.4,16978.7,0.25,0.04,814.80
Uganda,936.8,830.3,2219.8,6000.7,7540.3,0.15,0.02,908.20
Ukraine,523303.5,779582.3,353020.1,200128,132541.5,3.07,0.34,17.00
Uruguay,5298,3924.9,5519.8,6341,8541.5,2.43,0.02,217.60
United States,4595406.7,4984066.7,5888498.7,4959631.9,4853780.2,14.44,12.60,97.40
Uzbekistan,79096.1,127483.1,121441.9,114968.7,132433.5,3.89,0.34,103.90
Saint Vincent and the Grenadines,11.2,27.5,61.4,99.7,82.8,0.75,0.00,300.90
Venezuela,57144.8,102258.7,155614,147806.4,96924.9,2.86,0.25,94.80
British Virgin Islands,7.3,17.2,34.7,61.4,64.7,1.96,0.00,375.30
Vietnam,17507.2,20584.6,100556.2,229728.9,327905.6,3.27,0.85,1593.00
Vanuatu,75.2,100.3,94.9,194.1,218.1,0.71,0.00,217.50
Samoa,65.9,120.8,231.4,369,355.4,1.75,0.00,294.20
Yemen,1627.9,7088.6,21980.7,10385.1,12263.2,0.39,0.03,173.00
South Africa,185563.9,313362.3,434311.5,468964.8,404974.5,6.75,1.05,129.20
Zambia,3700.4,3028.7,2470.4,7338.8,9270.7,0.47,0.02,306.10
Zimbabwe,9529.6,17387.1,11436.4,10242.7,10223.7,0.55,0.03,58.80
